title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
GRACEFFA ,5/30/2016,1049,4779,1263456,55290
Zoo ,5/30/2016,377,56,287653,106
Video) ,5/30/2016,35908,30566,96423185,604615
T-Series ,5/30/2016,7425,5205,31123591,111460
Woods ,5/30/2016,84990,117016,92655757,1186331
YTMAs] ,5/30/2016,13227,16571,127927262,625338
Video) ,5/30/2016,38832,83652,139449984,1290926
FailArmy ,5/30/2016,7544,23045,22959726,191936
Kumar ,5/30/2016,283,179,841158,3508
Video) ,5/30/2016,4925,16723,11684732,178072
Panda ,5/30/2016,20885,38291,20747389,304329
Video] ,5/30/2016,22124,31808,113428002,651673
lyric ,5/30/2016,6560,6078,6275437,117905
Video) ,5/30/2016,1131,14767,1446786,99018
Video) ,5/30/2016,39823,36173,346636977,730880
Eggs ,5/30/2016,1198,1214,1603903,16669
T-Series ,5/30/2016,36,47,197335,730
YouTube ,5/30/2016,2103,19805,1873891,151274
(2016-2017) ,5/30/2016,646,4952,493921,5953
Video] ,5/30/2016,4423,34239,65285748,308160
Edit) ,5/30/2016,18862,31585,79908652,723846
Edit) ,5/30/2016,18862,31585,79908652,723846
Video) ,5/30/2016,83,366,334179,4802
Body? ,5/30/2016,514,1432,914895,16171
Memorial ,5/30/2016,54,391,25952,570
HD] ,5/30/2016,478620,802244,599815064,4235437
Video ,5/30/2016,5123,7993,9401982,110931
(Video) ,5/30/2016,6682,7584,82487447,148785
VIDEO) ,5/30/2016,168442,419552,913994765,3947602
Video) ,5/30/2016,4970,2972,16942057,89957
Video) ,5/30/2016,8300,7340,64623266,279528
Video) ,5/30/2016,18089,10821,62463225,393390
TV ,5/30/2016,376,85,1125174,799
Video] ,5/30/2016,23697,25097,73863970,406627
Me ,5/30/2016,55922,64853,45948373,831526
T-Series ,5/30/2016,101,91,291631,1381
Video) ,5/30/2016,2769,7303,2415221,40534
Chewbacca ,5/30/2016,596,2545,4673669,41885
Video] ,5/30/2016,41575,40520,405186004,1419693
Kumar ,5/30/2016,283,179,841158,3508
Jalanan ,5/30/2016,7130,6976,24990926,82510
T-Series ,5/30/2016,8486,5810,30539760,111624
Video) ,5/30/2016,13395,23695,116005404,812645
|T-Series ,5/30/2016,684,581,4598523,11019
Video] ,5/30/2016,31689,30091,225322346,1302104
video) ,5/30/2016,22578,29129,203561062,958375
VIDEO ,5/30/2016,120613,107937,568168186,3017276
Video) ,5/30/2016,24182,75795,41227057,1015507
Video) ,5/30/2016,50838,203832,551203884,2156414
Video) ,5/30/2016,50762,268972,187618185,2507372
T-SERIES ,5/30/2016,2110,713,3453534,10918
Lamar ,5/30/2016,373280,362999,888185560,4253212
T-Series ,5/30/2016,1731,656,5663268,13330
Ocean ,5/30/2016,176,667,245552,6447
T-Series ,5/30/2016,1061,337,3512055,6179
video ,5/30/2016,159224,485201,780065287,3128721
O_o ,5/30/2016,743,4833,1454081,35689
Video] ,5/30/2016,102493,157161,999089958,3623514
Video] ,5/30/2016,161728,156782,1117421134,4620482
Video) ,5/30/2016,7988,6848,34431054,204760
Oficial ,5/30/2016,28363,20334,252056982,668991
4K ,5/30/2016,5,8,17054,17
Video) ,5/30/2016,30449,70661,201454480,988772
VIDEO] ,5/30/2016,158595,408275,905871703,3127363
(Explicit) ,5/30/2016,31516,40195,58461852,602698
Lover) ,5/30/2016,19823,48357,31696365,799376
8! ,5/30/2016,2063,14834,2026869,82576
Hello ,5/30/2016,489712,757867,1555862807,10023638
Mama ,5/30/2016,52255,45853,70598936,749019
T-SERIES ,5/30/2016,429,164,1397489,2652
Videogames ,5/30/2016,325,667,200680,3227
Video] ,5/30/2016,47860,147979,432815422,2559603
Encontradas ,5/30/2016,2254,7174,5517398,77302
Dialogue ,5/30/2016,205,874,194684,3243
Cámara ,5/30/2016,4255,21055,9228708,105230
VIDEO ,5/30/2016,202,504,870380,8260
Bobo ,5/30/2016,30914,25478,61032728,488264
WTF ,5/30/2016,1828,6518,2206099,18519
